"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"sigma","all",-5,"all",NA,NA,NA,1,0.1,-20,2
"y0_mod","all",-20,"all",NA,NA,NA,1,0.1,-20,2
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,50,"all","A","B",NA,1,0.1,0,10000
"x",NA,60,"all","A","C",NA,1,0.1,0,10000
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","A","F",NA,1,0.1,0,10000
"x",NA,0,"all","A","G",NA,1,0.1,0,10000
"x",NA,0,"all","A","H",NA,1,0.1,0,10000
"x",NA,0,"all","A","I",NA,1,0.1,0,10000
"x",NA,0,"all","A","J",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,10,"all","B","C",NA,1,0.1,0,10000
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","F",NA,1,0.1,0,10000
"x",NA,0,"all","B","G",NA,1,0.1,0,10000
"x",NA,0,"all","B","H",NA,1,0.1,0,10000
"x",NA,0,"all","B","I",NA,1,0.1,0,10000
"x",NA,0,"all","B","J",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","F",NA,1,0.1,0,10000
"x",NA,0,"all","C","G",NA,1,0.1,0,10000
"x",NA,0,"all","C","H",NA,1,0.1,0,10000
"x",NA,0,"all","C","I",NA,1,0.1,0,10000
"x",NA,0,"all","C","J",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,200,"all","D","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","F",NA,1,0.1,0,10000
"x",NA,0,"all","D","G",NA,1,0.1,0,10000
"x",NA,0,"all","D","H",NA,1,0.1,0,10000
"x",NA,0,"all","D","I",NA,1,0.1,0,10000
"x",NA,0,"all","D","J",NA,1,0.1,0,10000
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"x",NA,0,"all","E","F",NA,1,0.1,0,10000
"x",NA,0,"all","E","G",NA,1,0.1,0,10000
"x",NA,0,"all","E","H",NA,1,0.1,0,10000
"x",NA,0,"all","E","I",NA,1,0.1,0,10000
"x",NA,0,"all","E","J",NA,1,0.1,0,10000
"x",NA,0,"all","F","F",NA,1,0.1,0,10000
"x",NA,0,"all","F","G",NA,1,0.1,0,10000
"x",NA,0,"all","F","H",NA,1,0.1,0,10000
"x",NA,0,"all","F","I",NA,1,0.1,0,10000
"x",NA,0,"all","F","J",NA,1,0.1,0,10000
"x",NA,0,"all","G","G",NA,1,0.1,0,10000
"x",NA,0,"all","G","H",NA,1,0.1,0,10000
"x",NA,0,"all","G","I",NA,1,0.1,0,10000
"x",NA,0,"all","G","J",NA,1,0.1,0,10000
"x",NA,0,"all","H","H",NA,1,0.1,0,10000
"x",NA,0,"all","H","I",NA,1,0.1,0,10000
"x",NA,0,"all","H","J",NA,1,0.1,0,10000
"x",NA,0,"all","I","I",NA,1,0.1,0,10000
"x",NA,0,"all","I","J",NA,1,0.1,0,10000
"x",NA,0,"all","J","J",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
